src_idx,tgt_idx,src_x,src_y,src_z,tgt_x,tgt_y,tgt_z,fpfh_l2_distance,residual_after_transform,is_geometrically_consistent
0.000000000000000000e+00,6.000000000000000000e+00,4.090763854980468750e+01,-7.723316669464111328e+00,2.686229467391967773e+00,3.864107513427734375e+01,-1.508972406387329102e+00,6.038280725479125977e-01,0.000000000000000000e+00,1.107397711422726516e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.259000000000000000e+03,4.082753372192382812e+01,-7.012741088867187500e+00,9.074396491050720215e-01,4.434240818023681641e+00,-4.567138671875000000e+00,-8.416523933410644531e-01,5.659791926521889849e+01,3.452413090208199264e+01,0.000000000000000000e+00
5.000000000000000000e+00,5.780000000000000000e+02,4.078682327270507812e+01,-7.309891700744628906e+00,8.193265199661254883e-01,1.676262855529785156e+01,-4.263728141784667969e+00,-8.164479136466979980e-01,5.558124851113191056e+01,2.273683447231818988e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.575000000000000000e+03,4.073350524902343750e+01,-7.127403497695922852e+00,7.793510556221008301e-01,5.329867362976074219e+00,-1.175114586949348450e-01,-1.160083770751953125e+00,5.719667365933776182e+01,3.479943227126231164e+01,0.000000000000000000e+00
1.700000000000000000e+01,4.350000000000000000e+02,4.036588287353515625e+01,-8.455704689025878906e+00,4.011225998401641846e-01,1.811425781250000000e+01,-4.128744602203369141e+00,9.645145535469055176e-01,4.693271928949070571e+01,2.137027095663573562e+01,0.000000000000000000e+00
2.900000000000000000e+01,5.700000000000000000e+02,3.847240829467773438e+01,-1.517765223979949951e-01,3.872296586632728577e-02,9.562006950378417969e+00,-1.019620418548583984e+01,-8.023719787597656250e-01,0.000000000000000000e+00,2.769601102878411325e+01,0.000000000000000000e+00
3.000000000000000000e+01,5.400000000000000000e+01,4.038814544677734375e+01,-8.974987030029296875e+00,3.655410930514335632e-02,2.541712379455566406e+01,-2.802244186401367188e+00,7.994185447692871094e+00,0.000000000000000000e+00,1.798155689493006548e+01,0.000000000000000000e+00
4.200000000000000000e+01,2.994000000000000000e+03,4.036715316772460938e+01,-6.604914665222167969e+00,-2.130857855081558228e-01,2.240794372558593750e+01,-4.569075425465901397e+00,-1.113251805305480957e+00,2.958006303308949470e+01,1.674474545704359585e+01,0.000000000000000000e+00
4.500000000000000000e+01,3.080000000000000000e+02,4.071263504028320312e+01,-8.027822494506835938e+00,-2.836124897003173828e-01,2.541483879089355469e+01,-2.838068485260009766e+00,4.520166516304016113e-01,4.308086030983920978e+01,1.590571281861904573e+01,0.000000000000000000e+00
4.800000000000000000e+01,1.370000000000000000e+02,4.072335433959960938e+01,-8.301566123962402344e+00,-4.005883634090423584e-01,2.735669708251953125e+01,-4.083681106567382812e+00,1.697870075702667236e+00,3.875534937284420067e+01,1.390056157172258722e+01,0.000000000000000000e+00
5.100000000000000000e+01,9.950000000000000000e+02,3.901879882812500000e+01,1.944406390190124512e+00,6.449241042137145996e-01,5.268500900268554688e+01,2.914475059509277344e+01,-1.766792178153991699e+00,2.672356253991485886e+01,3.523488233414263959e+01,0.000000000000000000e+00
5.900000000000000000e+01,3.100000000000000000e+02,4.043765258789062500e+01,-7.615811347961425781e+00,-2.871648669242858887e-01,2.671934509277343750e+01,-2.201460123062133789e+00,4.492938518524169922e-01,4.742692897648576889e+01,1.486207035786540764e+01,0.000000000000000000e+00
