# timestamp tx ty tz qx qy qz qw
1652439548.843697 -0.055006 -0.012007 0.032315 0.001081 0.000117 0.000018 0.999999
1652439548.944885 -0.045408 -0.018874 0.027108 0.000837 0.000228 -0.000036 1.000000
1652439549.055666 -0.037851 -0.018703 0.019504 0.000781 -0.000872 0.000213 0.999999
1652439549.156221 -0.034805 -0.010800 0.017928 0.000848 -0.000858 0.000150 0.999999
1652439549.246716 -0.043739 -0.005248 0.027793 0.000921 -0.000016 0.000234 1.000000
1652439549.347454 -0.044773 -0.004630 0.036669 0.000482 0.000105 -0.000139 1.000000
1652439549.448041 -0.039426 -0.013856 0.034672 0.001424 0.000075 0.000320 0.999999
1652439549.550933 -0.043986 -0.016270 0.032708 0.000748 -0.000081 0.000247 1.000000
1652439549.652499 -0.050494 -0.018683 0.035686 0.000840 0.000008 0.000225 1.000000
1652439549.753156 -0.053299 -0.022406 0.028667 0.000881 -0.000237 0.000199 1.000000
1652439549.843858 -0.051713 -0.017031 0.027012 0.001333 -0.000257 0.000231 0.999999
1652439549.944842 -0.048493 -0.015669 0.022903 0.001702 -0.000309 0.000233 0.999998
1652439550.055732 -0.046998 -0.010854 0.024582 0.000703 -0.000143 0.000228 1.000000
1652439550.146263 -0.043562 -0.008786 0.022706 0.001111 -0.000295 0.000072 0.999999
1652439550.246805 -0.045138 -0.009156 0.031484 0.000846 0.000133 0.000002 1.000000
1652439550.347384 -0.046092 -0.012773 0.036837 0.001002 0.000245 0.000093 0.999999
1652439550.448108 -0.042094 -0.009658 0.041053 0.001684 0.000183 0.000366 0.999998
1652439550.552153 -0.040329 -0.016528 0.037723 0.000847 0.000156 0.000359 1.000000
1652439550.652743 -0.035814 -0.021272 0.035138 0.000733 0.000178 0.000324 1.000000
1652439550.753388 -0.034903 -0.027241 0.033235 0.000662 0.000298 0.000592 1.000000
1652439550.853845 -0.039057 -0.027597 0.030287 0.001149 0.000099 0.000420 0.999999
1652439550.947758 -0.042066 -0.023508 0.025167 0.001289 -0.000044 0.000243 0.999999
