X Y Z Doppler RCS Label Mahalanobis_Error
2.909158 0.544145 -1.144020 -0.547517 8.150000 0.000000 0.448321
3.243039 1.756358 -1.103934 -0.466094 7.010000 0.000000 0.254641
3.100386 1.367870 -1.085437 -0.517090 7.070000 0.000000 0.332543
3.327020 0.180580 -1.074975 -0.532105 6.790000 0.000000 0.089742
3.243906 0.178721 -1.074255 -0.542578 7.260000 0.000000 0.104208
3.206445 0.348424 -1.067887 -0.530448 7.390000 0.000000 0.067058
3.324065 1.889385 -1.067186 -0.450150 7.050000 0.000000 0.473882
3.562332 0.077841 -1.063228 -0.542631 6.850000 0.000000 0.020679
2.904849 0.618376 -1.058349 -0.546163 6.960000 0.000000 0.381646
3.797287 1.354214 -1.057909 -0.523422 7.350000 0.000000 0.083711
3.090499 2.151088 -1.056483 -0.481203 7.430000 0.000000 0.464856
3.454645 0.045431 -1.054993 -0.542714 6.850000 0.000000 0.038929
3.430879 1.244474 -1.053106 -0.534803 7.620000 0.000000 0.342309
2.911226 1.207540 -1.053014 -0.506447 6.850000 0.000000 0.114723
3.972704 0.307904 -1.052778 -0.542802 6.400000 0.000000 0.039182
3.362350 1.371368 -1.052348 -0.500871 6.550000 0.000000 0.097288
3.516302 0.116832 -1.051935 -0.553424 7.570000 0.000000 0.201446
3.872398 0.874373 -1.050594 -0.545817 8.780000 0.000000 0.178741
3.362080 0.410661 -1.045388 -0.520648 6.930000 0.000000 0.273929
2.946101 0.611709 -1.044356 -0.566005 6.580000 0.000000 0.677693
3.847489 0.094843 -1.040907 -0.553522 8.530000 0.000000 0.137622
3.406614 1.657481 -1.036420 -0.520957 7.450000 0.000000 0.430210
3.110692 0.367069 -1.034545 -0.540050 6.400000 0.000000 0.097336
3.749652 0.177831 -1.034065 -0.532841 6.330000 0.000000 0.190762
3.858916 0.249616 -1.033507 -0.572338 6.980000 0.000000 0.450669
3.726875 0.373016 -1.033168 -0.552450 6.970000 0.000000 0.159389
3.760720 0.893253 -1.031439 -0.544948 8.670000 0.000000 0.189533
3.959979 0.098923 -1.023051 -0.553521 8.950000 0.000000 0.111556
3.260794 0.371776 -1.021903 -0.520934 7.090000 0.000000 0.269452
3.415620 0.081154 -1.012685 -0.553523 7.590000 0.000000 0.196360
2.841864 2.029200 -0.996144 -0.491769 7.140000 0.000000 0.708824
3.251808 0.699466 -0.983949 -0.546015 7.640000 0.000000 0.232753
2.824974 0.607189 -0.977114 -0.545640 7.290000 0.000000 0.329017
4.032492 3.003092 -1.250104 -0.464168 7.000000 0.000000 0.290902
4.049256 2.750947 -1.209120 -0.454651 8.780000 0.000000 0.090115
4.723366 1.837080 -1.194652 -0.552546 7.180000 0.000000 0.599404
4.976500 1.206955 -1.173557 -0.515506 7.260000 0.000000 0.363173
4.556377 0.972825 -1.168126 -0.585339 7.960000 0.000000 0.784055
4.872689 1.187417 -1.154245 -0.515380 7.010000 0.000000 0.361330
4.681822 1.241323 -1.149373 -0.562420 6.490000 0.000000 0.472197
3.953509 2.960936 -1.149144 -0.463236 8.110000 0.000000 0.264373
3.829239 2.512270 -1.148505 -0.522938 7.810000 0.000000 0.968558
5.132808 1.665344 -1.147821 -0.558424 8.080000 0.000000 0.492219
3.543248 4.269442 -1.146386 -0.397587 7.490000 0.000000 0.583579
4.044042 2.528585 -1.143766 -0.448248 7.290000 0.000000 0.389846
5.346932 1.210063 -1.141292 -0.507424 7.730000 0.000000 0.563139
5.027322 0.046709 -1.134572 -0.553683 7.860000 0.000000 0.050291
5.248909 0.646907 -1.130748 -0.520254 8.840000 0.000000 0.478484
4.961587 0.876844 -1.130360 -0.459836 7.600000 0.000000 1.399296
3.860367 2.911432 -1.129000 -0.462139 7.200000 0.000000 0.265287
5.528610 0.823947 -1.127214 -0.551791 9.560000 0.000000 0.049187
3.617167 4.234750 -1.127196 -0.415278 8.330000 0.000000 0.774492
5.346083 1.159408 -1.124797 -0.543000 6.760000 0.000000 0.005498
5.211128 1.341508 -1.122672 -0.543308 6.500000 0.000000 0.089292
5.055702 2.023873 -1.122137 -0.521086 7.580000 0.000000 0.059079
3.899168 2.916863 -1.119687 -0.468404 7.160000 0.000000 0.342862
5.140989 2.109030 -1.118601 -0.520279 8.700000 0.000000 0.065941
3.996514 2.966714 -1.118596 -0.469606 7.200000 0.000000 0.335416
4.980415 1.009938 -1.117755 -0.563319 7.260000 0.000000 0.344023
5.063983 0.384890 -1.116964 -0.531623 6.970000 0.000000 0.312528
4.527198 0.810502 -1.116139 -0.549091 8.070000 0.000000 0.116356
5.015189 1.409416 -1.115278 -0.512347 7.080000 0.000000 0.366004
4.475221 2.840807 -1.112423 -0.512233 7.940000 0.000000 0.654296
5.485294 0.627680 -1.111682 -0.563512 6.960000 0.000000 0.208681
3.758715 3.770257 -1.111592 -0.464068 7.230000 0.000000 1.083524
5.423778 0.810317 -1.108316 -0.551765 8.730000 0.000000 0.049906
4.420388 0.967594 -1.108164 -0.539359 8.480000 0.000000 0.020089
5.217841 1.957557 -1.106338 -0.510547 7.190000 0.000000 0.195552
5.230916 0.680682 -1.105164 -0.543270 7.680000 0.000000 0.098444
3.449585 2.648416 -1.104608 -0.490804 8.710000 0.000000 0.818347
4.197302 0.999440 -1.102342 -0.565012 7.180000 0.000000 0.499341
3.678416 2.862378 -1.099907 -0.463734 8.030000 0.000000 0.376579
5.107181 0.112744 -1.098777 -0.543251 7.630000 0.000000 0.142335
4.663936 0.893438 -1.096118 -0.568058 7.500000 0.000000 0.425411
4.070193 0.397206 -1.091893 -0.571948 7.510000 0.000000 0.461225
4.788187 1.536267 -1.090675 -0.510991 7.220000 0.000000 0.294550
4.391710 1.428761 -1.086494 -0.545901 7.140000 0.000000 0.326774
5.023846 0.521514 -1.084826 -0.552529 7.410000 0.000000 0.041560
3.905834 1.590545 -1.084166 -0.549307 6.480000 0.000000 0.635925
5.199532 0.086857 -1.081589 -0.542715 7.840000 0.000000 0.163581
4.213399 2.329569 -1.078470 -0.505619 7.440000 0.000000 0.295429
5.167239 0.736008 -1.077252 -0.511624 7.880000 0.000000 0.615163
5.030442 0.357119 -1.070843 -0.552832 7.780000 0.000000 0.022684
5.458546 0.923867 -1.070843 -0.573059 7.750000 0.000000 0.412477
4.775275 1.729712 -1.068648 -0.451293 7.950000 0.000000 1.191508
4.456163 0.430496 -1.067325 -0.521628 8.090000 0.000000 0.431192
4.881126 1.532391 -1.067241 -0.507124 6.740000 0.000000 0.388704
4.607656 1.665968 -1.064335 -0.505135 7.680000 0.000000 0.290338
5.093695 0.084687 -1.063557 -0.542715 7.680000 0.000000 0.162225
5.094751 0.397801 -1.063453 -0.512977 6.810000 0.000000 0.641145
4.096826 0.982429 -1.063139 -0.564821 7.350000 0.000000 0.492905
3.270331 2.702005 -1.056757 -0.409458 7.630000 0.000000 0.340287
4.231019 2.329995 -1.053930 -0.503821 8.400000 0.000000 0.249193
4.538929 1.705671 -1.053579 -0.536138 8.010000 0.000000 0.260256
4.163882 2.691472 -1.052201 -0.492539 7.870000 0.000000 0.370843
4.785975 1.481337 -1.046582 -0.528691 7.110000 0.000000 0.041349
