# timestamp tx ty tz qx qy qz qw
1652439552.246733 -0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 1.000000
1652439554.633282 0.505087 0.019782 -0.020424 -0.000598 0.001039 -0.036832 0.999321
1652439556.130996 1.041543 0.008017 -0.050324 0.000228 0.001216 -0.021972 0.999758
1652439557.412472 1.570353 -0.003568 -0.077433 -0.002152 0.000804 -0.028255 0.999598
1652439558.577150 2.083504 -0.003097 -0.104990 -0.002616 0.000451 -0.022477 0.999744
1652439559.632157 2.596295 -0.014564 -0.140826 -0.003938 0.000648 -0.025362 0.999670
1652439560.741377 3.107572 -0.031219 -0.170587 -0.003695 0.000311 -0.034837 0.999386
1652439561.740631 3.623808 -0.053944 -0.205086 -0.004213 0.000061 -0.030668 0.999521
1652439562.631153 4.125845 -0.070732 -0.239695 -0.005474 0.000523 -0.020719 0.999770
1652439563.739807 4.650244 -0.082529 -0.266550 -0.004357 0.000658 -0.022479 0.999738
1652439564.913819 5.170711 -0.093054 -0.292813 -0.003876 0.000781 -0.019231 0.999807
1652439565.964012 5.687841 -0.104240 -0.324151 -0.003027 0.000530 -0.019498 0.999805
1652439566.964689 6.197252 -0.111898 -0.359684 -0.003348 0.000435 -0.019129 0.999811
1652439568.131441 6.718340 -0.111011 -0.391222 -0.003140 0.000818 -0.014531 0.999889
1652439569.298917 7.249668 -0.118006 -0.421828 -0.003150 0.001209 -0.013985 0.999897
1652439570.301268 7.772427 -0.130345 -0.447709 -0.002740 0.001328 -0.021279 0.999769
1652439571.407095 8.300683 -0.149349 -0.474770 -0.002662 0.001635 -0.025845 0.999661
1652439572.468106 8.825398 -0.170673 -0.505891 -0.003601 0.001280 -0.029813 0.999548
1652439573.572102 9.358635 -0.191349 -0.525336 -0.004216 0.001246 -0.029252 0.999562
1652439574.627765 9.900075 -0.215978 -0.550359 -0.004397 0.001512 -0.034462 0.999395
1652439575.734894 10.415427 -0.240783 -0.579332 -0.004596 0.001998 -0.028311 0.999587
1652439576.736567 10.915731 -0.260530 -0.605987 -0.004609 0.002056 -0.027098 0.999620
1652439577.735787 11.432742 -0.276953 -0.634320 -0.003732 0.002163 -0.029284 0.999562
1652439578.740812 11.935276 -0.292833 -0.662461 -0.005000 0.001937 -0.029046 0.999564
1652439579.751950 12.468974 -0.309553 -0.694899 -0.008007 0.001384 -0.025745 0.999636
1652439580.630736 13.004659 -0.322900 -0.729513 -0.007730 0.001480 -0.016827 0.999827
1652439581.630629 13.526235 -0.323585 -0.749795 -0.007292 0.002538 -0.009005 0.999930
1652439582.568137 14.047728 -0.319998 -0.771393 -0.006726 0.002538 -0.011847 0.999904
1652439583.567339 14.589476 -0.326013 -0.792640 -0.006811 0.002566 -0.013511 0.999882
1652439584.569892 15.123000 -0.342459 -0.810988 -0.006843 0.002549 -0.020731 0.999758
1652439585.572462 15.655842 -0.371361 -0.839282 -0.008058 0.002215 -0.038489 0.999224
1652439586.461130 16.189277 -0.409631 -0.866870 -0.006779 0.002911 -0.041453 0.999113
1652439587.295288 16.708827 -0.440520 -0.893426 -0.007134 0.003020 -0.037547 0.999265
1652439588.236303 17.248707 -0.460962 -0.918214 -0.004894 0.003745 -0.010197 0.999929
1652439589.070410 17.748481 -0.468206 -0.944214 -0.006163 0.003618 -0.013776 0.999880
1652439589.962608 18.288469 -0.466661 -0.969176 -0.005674 0.003465 -0.005761 0.999961
1652439590.800915 18.795295 -0.468204 -0.996799 -0.005041 0.003146 -0.014619 0.999875
1652439591.734503 19.313336 -0.467436 -1.032151 -0.004691 0.003220 -0.013031 0.999899
1652439592.629878 19.858696 -0.473218 -1.070261 -0.004341 0.003350 -0.008138 0.999952
1652439593.569125 20.391183 -0.472009 -1.101525 -0.003804 0.003487 -0.008997 0.999946
