# timestamp tx ty tz qx qy qz qw
1645868418.294986 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 1.000000
1645868421.290973 0.501706 0.015807 -0.001056 0.001020 0.000357 0.031640 0.999499
1645868422.788832 1.002170 0.072390 -0.001736 0.002178 0.000738 0.062017 0.998072
1645868424.359040 1.509990 0.153103 -0.000226 0.004263 0.001168 0.093092 0.995648
1645868426.194668 2.017150 0.270845 -0.000674 0.004691 0.001339 0.111589 0.993742
1645868427.859890 2.504280 0.397177 -0.030217 0.003020 0.001391 0.127907 0.991781
1645868429.856095 3.010030 0.539030 -0.070709 0.004374 0.001914 0.141406 0.989940
1645868431.279686 3.491190 0.710609 -0.111940 0.004838 0.002207 0.146263 0.989232
1645868432.692544 3.981670 0.884275 -0.158974 0.004727 0.002384 0.150848 0.988543
1645868434.192880 4.483000 1.062720 -0.192951 0.004378 0.002534 0.155411 0.987837
1645868435.857587 4.980620 1.238440 -0.211879 0.003968 0.002547 0.161896 0.986797
1645868437.281970 5.458410 1.414600 -0.223362 0.004238 0.002889 0.169010 0.985601
1645868438.783570 5.953660 1.605240 -0.249239 0.004217 0.002773 0.171518 0.985168
1645868440.285552 6.436050 1.789810 -0.294356 0.004626 0.003191 0.175335 0.984493
1645868441.786530 6.911840 1.978190 -0.345925 0.006464 0.003191 0.186386 0.982450
1645868443.191870 7.393230 2.177260 -0.391327 0.007067 0.003347 0.189670 0.981817
1645868444.619864 7.881070 2.397190 -0.438982 0.006373 0.003481 0.185256 0.982663
1645868445.954549 8.363600 2.600350 -0.484629 0.005435 0.004112 0.181858 0.983301
1645868447.122380 8.836400 2.791310 -0.509475 0.004118 0.004059 0.176676 0.984252
1645868448.286288 9.318310 2.979060 -0.521012 0.004079 0.003576 0.170407 0.985359
1645868449.457974 9.808310 3.159640 -0.534142 0.004557 0.003093 0.169218 0.985563
1645868450.622179 10.287900 3.343870 -0.545807 0.005987 0.003576 0.181323 0.983399
1645868451.796369 10.769600 3.543520 -0.572131 0.005649 0.003941 0.201934 0.979375
1645868453.194088 11.246900 3.775180 -0.604628 0.004406 0.005225 0.224028 0.974559
1645868454.697750 11.710800 4.006000 -0.624935 0.005018 0.006035 0.239033 0.970980
1645868456.141860 12.155900 4.263330 -0.642719 0.004924 0.006623 0.260714 0.965381
1645868457.357984 12.578900 4.526160 -0.664045 0.005418 0.006874 0.277173 0.960780
